QuerySId;SessionSId;UserSId;NoP;NoS;NoA;NoT;NoAtt;NCP;NCS;NCA;NCT;NCAtt;zNoP;zNoS;zNoA;zNoT;zNoAtt;zNCP;zNCF;zNCA;zNCT;zNCAtt;RED;Edit index;Jaccard index;Cosine index;Common fragments index;Common tables index;Vote;ExplorationSId;GroundTruth;ChangeSession
417;9;3;4;2;2;3;8;4;2;2;3;8;0.332092548;-0.482180492;1.107176568;-0.281161332;-0.060812608;0.595068306;-0.442326484;1.206826197;0.027568961;0.243093699;0;1;1;0.986927542439653;1;0.6;0;10;0;0
418;9;3;4;2;2;3;8;4;2;2;3;8;0.332092548;-0.482180492;1.107176568;-0.281161332;-0.060812608;0.595068306;-0.442326484;1.206826197;0.027568961;0.243093699;0;1;1;1;1;0.6;0;10;0;0
419;9;3;4;2;2;3;8;4;2;2;3;8;0.332092548;-0.482180492;1.107176568;-0.281161332;-0.060812608;0.595068306;-0.442326484;1.206826197;0.027568961;0.243093699;0;1;1;1;1;0.6;0;10;0;0
420;9;3;4;2;2;3;8;4;2;2;3;8;0.332092548;-0.482180492;1.107176568;-0.281161332;-0.060812608;0.595068306;-0.442326484;1.206826197;0.027568961;0.243093699;0;1;1;1;1;0.6;0;10;0;0
421;9;3;4;2;2;3;8;4;2;2;3;8;0.332092548;-0.482180492;1.107176568;-0.281161332;-0.060812608;0.595068306;-0.442326484;1.206826197;0.027568961;0.243093699;0;1;1;1;1;0.6;0;10;0;0
422;9;3;4;2;2;3;8;4;2;2;3;8;0.332092548;-0.482180492;1.107176568;-0.281161332;-0.060812608;0.595068306;-0.442326484;1.206826197;0.027568961;0.243093699;0;1;1;1;1;0.6;0;10;0;0
423;9;3;5;2;3;3;9;4;2;2;3;8;1.212371667;-0.482180492;2.79029959;-0.281161332;0.269965799;0.595068306;-0.442326484;1.206826197;0.027568961;0.243093699;2;0.8;0.846153846153846;0.990867388613725;1;0.6;0;10;0;0
424;9;3;6;3;3;4;12;5;2;3;3;9;2.092650786;-0.482180492;2.79029959;0.721008415;1.262301021;1.306579457;-0.442326484;2.662753699;0.027568961;0.528319598;3;0.7;0.8125;0.992277876713668;1;0.6;0;10;0;0
425;9;3;6;3;3;4;12;6;3;3;4;12;2.092650786;-0.482180492;2.79029959;0.721008415;1.262301021;2.018090609;-0.442326484;2.662753699;0.892315358;1.383997295;0;1;1;0.992308638819815;1;0.8;0;10;0;0
426;9;3;6;3;3;4;12;6;3;3;4;12;2.092650786;-0.482180492;2.79029959;0.721008415;1.262301021;2.018090609;-0.442326484;2.662753699;0.892315358;1.383997295;0;1;1;1;1;0.8;0;10;0;0
